"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
157, 6.211299896240000e-01, 4.367359094194759e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
158, 6.363800168040000e-01, 4.233084266562091e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
159, 6.514999866490000e-01, 4.096270419333766e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
160, 6.664699912070000e-01, 3.957289370556494e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
161, 6.812700033190000e-01, 3.816515293304169e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
162, 6.958900094030001e-01, 3.674225211597043e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
163, 7.103199958800001e-01, 3.530689307158652e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
164, 7.245299816130000e-01, 3.386376679305321e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
165, 7.385200262070000e-01, 3.241453277608040e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
166, 7.522799968720000e-01, 3.096181144522562e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
167, 7.657799720760000e-01, 2.951033727360171e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
168, 7.790099978450000e-01, 2.806276676215449e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
169, 7.919700145720000e-01, 2.662062628442961e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
170, 8.046399950980000e-01, 2.518763605296113e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
171, 8.170099854470000e-01, 2.376642068849115e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
172, 8.290500044819999e-01, 2.236196298315981e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
173, 8.407700061800000e-01, 2.097463226217677e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
174, 8.521599769590000e-01, 1.960709133914372e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
175, 8.631799817090000e-01, 1.826569132102762e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
176, 8.738499879840000e-01, 1.694956337677533e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
177, 8.841500282290000e-01, 1.566269158090452e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
178, 8.940600156780000e-01, 1.440916392228702e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
179, 9.035800099370001e-01, 1.319055953446835e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
180, 9.126999974250000e-01, 1.200973104171110e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
181, 9.214000105860000e-01, 1.087086069705918e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
182, 9.296900033950000e-01, 9.774221272349531e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
183, 9.375399947170000e-01, 8.725349486403867e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
184, 9.449599981310000e-01, 7.724467125531491e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
185, 9.519400000570000e-01, 6.774428848839826e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
186, 9.584699869160000e-01, 5.878077433056352e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
187, 9.645400047300000e-01, 5.038225493362627e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
188, 9.701499938960000e-01, 4.256268552403566e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
189, 9.752799868580000e-01, 3.536324145770189e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
190, 9.799500107769999e-01, 2.876826092032643e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
191, 9.841300249100000e-01, 2.283176811071472e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
192, 9.878399968150000e-01, 1.753609743384430e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
193, 9.910500049590000e-01, 1.293363843462116e-03, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
194, 9.937800168990000e-01, 9.004365425509819e-04, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
195, 9.960200190539999e-01, 5.769983605901485e-04, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
196, 9.977599978450000e-01, 3.251111630156300e-04, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
197, 9.990000128750000e-01, 1.452537504052920e-04, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
198, 9.997500181200000e-01, 3.632896519016437e-05, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
