"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
1886	1.000000000000000e+00	2.800000000000000e-01	3.178961339948784e+67	1.499205607775645e+73	-2.159431308096171e+72	3.999243469529338e+78	9.768881996276654e+76	1.536489587576117e+07	7.687766846923469e+00	1.953776399255331e+77	
1887	2.000000000000001e-02	2.600000000000000e-01	3.752174459722347e+61	1.021574195857316e+68	6.645740900100330e+67	2.003826629048673e+75	4.514762634699213e+74	6.016194986617567e+10	8.375082612103256e-01	9.029525269398427e+74	
1888	0.000000000000000e+00	2.600000000000000e-01	8.459288392420069e+62	-2.011498982900357e+70	-5.677033143629037e+68	4.589340048748573e+77	5.489763144908673e+76	3.244813801257660e+11	2.641155598054445e+00	1.097952628981735e+77	
1889	4.000000000000003e-02	2.600000000000000e-01	2.515719782318302e+61	3.856395178856225e+67	9.798246253529005e+67	1.739330563408543e+75	3.797403496718934e+74	7.547349914344449e+10	9.635894382313870e-01	7.594806993437868e+74	
1890	5.999999999999996e-02	2.600000000000000e-01	2.548438028382405e+62	2.641575020648827e+68	3.730194486030055e+68	1.201160180490917e+75	1.978141890265442e+74	3.881086901534443e+09	1.820841086990395e+00	3.956283780530885e+74	
1891	7.999999999999997e-02	2.600000000000000e-01	3.033275442817301e+62	1.522256915383659e+68	-1.885240902227921e+68	1.973513563395960e+75	4.691826019791983e+74	7.733926753836479e+09	5.744985414086055e-01	9.383652039583967e+74	
1892	9.999999999999999e-02	2.600000000000000e-01	7.884108002537025e+62	1.259035848768205e+69	-7.827508036695045e+68	2.569983097455701e+76	6.076492500579816e+75	3.853633472946124e+10	6.058194847364934e-01	1.215298500115963e+76	
1893	1.200000000000000e-01	2.600000000000000e-01	3.667809427994435e+61	2.751060147759793e+68	-9.531849032013820e+66	4.135451779782824e+75	7.756223758830575e+74	1.057337344142181e+11	1.459745204712230e+00	1.551244751766115e+75	
1894	1.400000000000000e-01	2.600000000000000e-01	1.915735488109719e+62	9.132515375235628e+68	2.289630093168030e+68	1.371992931319994e+76	2.851580171578422e+75	7.442520612258723e+10	1.139363088632270e+00	5.703160343156845e+75	
1895	1.600000000000000e-01	2.600000000000000e-01	5.867377651371724e+63	4.287147513066695e+69	-2.124224426824174e+69	1.102929059696869e+77	2.708553069852309e+76	2.308146186243084e+10	3.394656360100617e-01	5.417106139704619e+76	
